Title,Runtime,Artist,Album,Genre
You Are You,3:39,BackWordz,Veracity,Metal
You Are Not Alone,2:24,The Eagles,Long Road Out Of Eden [Disc 1],Rock
You and Yours,4:48,Cloudkicker,Let Yourself Be Huge,Rock
You and Me in Oceanside,3:27,Gold Necklace,Gold Necklace,Rock
You and Me,4:02,Yelawolf,Ghetto Cowboy,Hip-Hop/Rap
You and Me,3:34,Marc Rebillet,Loop Daddy III,R&B/Soul
You Already Know What You Are,1:28,A Day to Remember,,Metal
You Already Know What You Are,1:28,A Day to Remember,Homesick,Metal
Yonkers,2:53,Yelawolf,Best Of Freestyles,
Yo Victa,0:12,Victor Wooten,A Show of Hands 15,Jazz
Yes I'm Changing,4:31,Tame Impala,Currents,Alternative
Yellow Eyes,8:45,Between the Buried and Me,Automata I,Metal
Yeah Boy And Doll Face,4:24,Pierce The Veil,A Flair For The Dramatic,Punk
Yeah 3X,3:59,Allstar Weekend,Punk Goes Pop 4,Pop
Yas (feat. Mario Camarena & Erick Hansel),3:23,Polyphia,New Levels New Devils,Prog-Rock/Art Rock
Xoxo,1:26,Manuel Gardner Fernandes,Volume II,Rock
XIV,1:52,Born Of Osiris,The Discovery,Metal
Wylie,3:40,Maylene & The Sons Of Disaster,II,Hardcore/Rock/Punk
Wut the... (Poop),0:11,Chon,Newborn Sun,Rock
Wtf,3:06,Yelawolf & DJ Muggs,Mile Zero,Hip-Hop/Rap
Write Your Name (Feat. Mona Moua),3:44,Yelawolf,Radioactive,Hip-Hop
Wrinkle,2:32,Thank You Scientist,Terraformer,Rock
Wreckage,3:21,Parkway Drive,Deep Blue,Metalcore
Wrap Song,3:07,Yelawolf & M16,Heart Of Dixie,Hip-Hop
The Woven Web,4:08,Animals As Leaders,The Joy of Motion,Metal
Wounded Knee,2:26,Primus,Pork Soda,Hard Rock
The Worst Of Me,3:35,Saosin,In Search Of Solid Ground,Alternative & Punk
Worst Intentions (You Had 'em),3:32,Settle Your Scores,The Wilderness,Rock
The Worst,4:06,Polyphia,The Most Hated - EP,Alternative
World Without A Sun,2:26,"Oh, Sleeper",,Christian Metal
World Without A Sun,2:26,"Oh, Sleeper",Son of the Morning,Christian Metal
World Away,3:39,Emery,I'm Only a Man (Bonus Track Version),Rock
Words of Wisdom,3:08,Victor Wooten,A Show of Hands 15,Jazz
The Word Water,1:45,Cloudkicker,Let Yourself Be Huge,Rock
Wonderless,5:41,Pierce The Veil,A Flair For The Dramatic,Punk
Won't Stop,4:33,Yelawolf,Creek Water,
Women,3:23,Foreigner,The Very Best of Foreigner,Rock
Wombat Astronaut (Beyond the Burrow),4:25,Plini,The End of Everything - Single,Metal
Woman,3:41,Emarosa,Sting,Pop
Wolves,3:17,Jamie's Elsewhere,They Said A Storm Was Coming,Screamo
The Wolven Throne [Hidden Track],3:53,The Showdown,,Christian Metal
The Wolven Throne [Hidden Track],3:53,The Showdown,Blood In The Gears,Christian Metal
Wolfpack,2:34,Action Bronson,Blue Chips 7000,Hip-Hop/Rap
A Wolf in Cheap Clothing,6:43,Thank You Scientist,Stranger Heads Prevail,Rock
Without Me,3:45,Dayseeker,Dark Sun,Rock
With The Daylight,3:07,Ivoryline,,Rock
With The Daylight,3:07,Ivoryline,Vessels,Rock
Wise and Silent,3:36,Thomas Giles,Modern Noise,Rock
Winter Winds,3:40,Mumford & Sons,,
Winter Winds,3:40,Mumford & Sons,Sigh No More,
Winter Everywhere (feat. Tilian Pearson),3:29,SLAVES,Routine Breathing,Rock
Winter - Largo,1:58,Vivaldi,,Classical
Winter - Largo,1:58,Vivaldi,The Four Seasons,Classical
Winter - Allegro Non Molto,3:23,Vivaldi,,Classical
Winter - Allegro Non Molto,3:23,Vivaldi,The Four Seasons,Classical
Winter - Allegro,3:17,Vivaldi,,Classical
Winter - Allegro,3:17,Vivaldi,The Four Seasons,Classical
Wings,4:59,Macklemore,Wings - Single,
The Winged Bull,4:25,Scale the Summit,V,Metal
The Wind Waker Symphonic Movement,10:31,Koji Kondo,The Legend Of Zelda 25th Anniversary Soundtrack,Soundtrack
Wilt,3:59,Whale Bones,Wilt - Single,Alternative
Wilt,3:59,Whale Bones,"Close All the Blinds, Lock All the Doors, Say No One's Home - EP",Singer/Songwriter
The Widower,6:24,The Dillinger Escape Plan,Option Paralysis,
Why Won’t You Make Up Your Mind (Erol Alkan Rework),8:14,Tame Impala,"Reworks, Vol. 1",Dance
Why Won't You Make Up Your Mind?,3:19,Tame Impala,InnerSpeaker,Alternative
Why Won't They Talk to Me?,4:46,Tame Impala,Lonerism,Alternative
Why Walk on Water When We've Got Boats [*],1:54,A Day to Remember,,Alternative
Why Walk on Water When We've Got Boats [*],1:54,A Day to Remember,For Those Who Have Heart,Alternative
Why Fit in When You Can Stand out?,3:10,SLAVES,Routine Breathing,Rock
Why Don't You Write Me,2:46,Simon & Garfunkel,Bridge Over Troubled Water,Pop
Why Can't You See?,2:39,Saosin,In Search Of Solid Ground,Alternative & Punk
Whoa! Man,3:16,Emery,I'm Only a Man (Bonus Track Version),Rock
Who's Crying Now,5:03,Journey,Journey: Greatest Hits,Rock
Who Saves the Savior (feat. Spencer Chamberlain),4:21,SLAVES,Routine Breathing,Rock
Who Said We're Wack?,1:17,The Lonely Island,Incredibad,Comedy
Who Needs Air,3:44,The Classic Crime,Albatross,Rock
Who Do You Know Here?,3:04,The Home Team,Slow Bloom,Pop Punk
White Winter Hymnal,2:29,Fleet Foxes,Fleet Foxes,Rock
White Walls,14:13,Between the Buried & Me,Colors,Metal
WHiTE SiLK PANTS (Prod. by Dame Grease),3:15,RiFF RaFF,Hologram Panda,
White Privilege,4:21,Macklemore,The Language Of My World,Seattle Underground
White Lies,4:28,Axel Mansoor,Somerset - EP,Singer/Songwriter
White Boy Shit,4:43,Yelawolf & M16,Heart Of Dixie,Hip-Hop
White Blank Page,4:14,Mumford & Sons,Sigh No More,
White As Snow,4:41,Haste The Day,Attack Of The Wolf King,Metal
Whistle Dixie,3:01,Travis Barker & Yelawolf,Psycho White - EP,Hip Hop/Rap
A Whisper & A Clamor,3:25,Anberlin,Cities,Alternative
Whiskey in a Bottle,4:08,Yelawolf,Love Story,Hip-Hop/Rap
Whip It,4:04,Yelawolf,Radioactive,Hip-Hop
Whew,2:13,Dave Grusin,The Graduate (Original Motion Picture Soundtrack),Folk
Where You Let It Go,4:07,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative
Where the Mind Wants to Go,3:52,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative
Where or When,2:22,Julian Lage,World's Fair,Jazz
Where Are You (B.O.B VS BOBBY RAY),4:51,B.o.B,Strange Clouds,Hip-Hop
When You Love a Woman,4:08,Journey,Journey: Greatest Hits,Rock
When The Time Comes,3:49,The Classic Crime,Acoustic EP: Seattle Sessions,Alternative
When I Lost My Bet,3:53,The Dillinger Escape Plan,One Of Us Is The Killer,Rock
When I Grow Up,3:39,Mayday Parade,Punk Goes Pop Volume 2,Punk
When I Get Home You're so Dead,3:14,Mayday Parade,A Lesson in Romantics,Alternative
When Acting as a Wave,1:33,The Dillinger Escape Plan,,Metal
When Acting as a Wave,1:33,The Dillinger Escape Plan,Ire Works,Metal
When Acting as a Particle,1:23,The Dillinger Escape Plan,Ire Works,Metal
Wheel In the Sky,4:13,Journey,Journey: Greatest Hits,Rock
What's Stopping You,3:49,Emery,You Were Never Alone,Rock
What You Said,5:04,The Dear Hunter,The Color Spectrum: The Complete Collection,Alternative
What Were We Made For?,3:35,Saosin,In Search Of Solid Ground,Alternative & Punk
What Time Taught Us,4:07,The Dear Hunter,The Color Spectrum: The Complete Collection,Alternative
What Makes a Man a Man,4:24,Emery,I'm Only a Man (Bonus Track Version),Rock
What It Is Impossible Not to Know and What It Is No Longer Permissible To Believe in the United States,6:06,Cloudkicker,A New Heavenly Body,
What I Would Give To Be Australian,4:07,Jonny Craig,A Dream Is a Question You Don't Know How To Answer,Rock
What Goes Around...,4:32,Alesana,Punk Goes Pop Volume 2,Punk
What Do I Do With My Heart,3:54,The Eagles,Long Road Out Of Eden [Disc 1],Rock
Whales,6:29,Scale The Summit,,Progressive Metal
Whales,6:29,Scale The Summit,The Collective,Progressive Metal
Western Scene,5:39,Tides of Man,Empire Theory,Rock
Welcome to This World,3:41,Primus,Pork Soda,Hard Rock
Welcome to the Family,3:00,A Day to Remember,,Metal
Welcome to the Family,3:00,A Day to Remember,Homesick,Metal
Welcome to the Black Parade,5:11,My Chemical Romance,The Black Parade,Alternative
Welcome Back,1:43,Cloudkicker,Let Yourself Be Huge,Rock
Weightless,5:16,Animals As Leaders,Weightless,Rock
The weight of love blinds eyes,3:36,Emarosa,Emarosa,Rock
"Wednesday Morning, 3 A.M.",2:13,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
Wedding / Funeral,4:47,Anchor & Braille,Felt,Alternative
"A Weather Front Was Stalled out in the Pacific--Like a Lonely Person, Lost in Thought, Oblivious of Time.",16:23,Cloudkicker,Subsume,Rock
The Weakest,4:04,Emery,The Question,Alternative
We've Got A Score To Settle,3:46,The Dear Hunter,The Color Spectrum: The Complete Collection,Alternative
We've Got a Groovy Thing Goin',2:01,Simon & Garfunkel,Sounds of Silence,Singer/Songwriter
We're goin' in. We're going down.,5:15,Cloudkicker,Beacons,
We're Back!,1:50,The Lonely Island,,
We're Back!,1:50,The Lonely Island,Turtleneck & Chain,
We Were Only Dreaming,4:49,Tides of Man,Young and Courageous,Instrumental
We were all scared.,2:30,Cloudkicker,Beacons,
We Wander Lonely,4:32,Thomas Giles,Modern Noise,Rock
We Slum,4:11,Yelawolf,Trunk Muzik 3,Hip-Hop/Rap
We R Who We R,3:27,"Chunk! No, Captain Chunk!",Punk Goes Pop 4,Pop
We Own the Night (Tree City Sessions),3:27,Dance Gavin Dance,Tree City Sessions,Rock
We Own the Night,3:26,Dance Gavin Dance,Instant Gratification,Rock
We Owe This To Ourselves,3:12,Anberlin,"Dark Is The Way, Light Is A Place",Alternative
We Like Sportz,2:04,The Lonely Island,Incredibad,Comedy
We Have Liftoff,1:13,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack
We Dreamt In Heist,3:18,Anberlin,Blueprints For The Black Market,Alternative
We Connect,4:15,Stacey Q,Better Than Heaven,Dance
We Both Know,3:09,Ivoryline,There Came A Lion,Alternative Rock
We Are The Reasons,3:44,We Came As Romans,To Plant A Seed,Post-hardcore/Metalcore
We Are The Champions,3:14,Mayday Parade,Punk Goes Classic Rock,
We Are so Michelle Branch,3:36,SLAVES,Routine Breathing,Rock
We Are Paramount,3:42,Broadway,Kingdoms,Alternative
We Are One Tonight,4:42,Switchfoot,Nothing Is Sound,Alternative
We Are Not Things (Extended Version),1:43,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack) [Deluxe Version],Soundtrack
We are life,4:01,Emarosa,Emarosa,Rock
We are going to invert...,0:41,Cloudkicker,Beacons,
We All Look Elsewhere,4:28,The Classic Crime,Albatross,Rock
Wazzlejazzlebof,7:37,Trioscapes,Separate Realities,Jazz
The Way That You Are,3:33,The Classic Crime,The Silver Cord,Rock
Way Out,4:02,Yelawolf,Trunk Muzik Returns,
Waves,4:12,The Dear Hunter,Act IV: Rebirth in Reprise,Alternative
Wave Bounce,3:02,Chon,Homey,Rock
Waterslide,3:26,Chon,Homey,Rock
Water,3:15,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack),Soundtrack
Watching All Your Friends Get Rich,3:06,The Home Team,Slow Bloom,Pop Punk
Watch Me Do Me - Classy Skit #2,0:27,The Lonely Island,Turtleneck & Chain,
Wasted Time,5:20,The Eagles,Hell Freezes Over [Live],Rock
Wasted My Love (Stripped),4:12,Axel Mansoor,Somerset - EP,Singer/Songwriter
Wasted My Love,3:33,Axel Mansoor,Wasted My Love - Single,Pop
Waste My Time,3:54,Tilian,Material Me,Pop
Warrior Poet,2:54,The Classic Crime,Albatross,Rock
The Warmth of the Daytime Seemed Like a Dream Now.,5:29,Cloudkicker,Subsume,Rock
The Warmth,6:45,Whale Bones,Island Fire,Alternative
War Pigs,8:16,The Acacia Strain,Homefront: Songs for the Resistance,Metal
War Ensemble,4:51,As I Lay Dying,Homefront: Songs for the Resistance,Metal
War,3:58,Oceano,Homefront: Songs for the Resistance,Metal
Wander Drug,4:07,Thomas Giles,Modern Noise,Rock
Wander,5:13,Tame Impala,Tame Impala - EP,Rock
"Waltz No. 9 in A-Flat Major, Op. 69, No. 1, ""Adieu""",5:03,İdil Biret,50 of the Best: Chopin,Classical
"Waltz No. 7 in C-Sharp Minor, Op. 64, No. 2",3:59,İdil Biret,50 of the Best: Chopin,Classical
"Waltz No. 6 in D-Flat Major, Op. 64, No. 1, ""Minute""",1:50,İdil Biret,50 of the Best: Chopin,Classical
"Waltz No. 3 in A Minor, Op. 34, No. 2",5:34,İdil Biret,50 of the Best: Chopin,Classical
"Waltz No. 1 in E-Flat Major, Op. 18, ""Grande valse brillante""",5:35,İdil Biret,50 of the Best: Chopin,Classical
The Wall,4:49,Kansas,,Rock
The Wall,4:49,Kansas,The Best Of Kansas,Rock
Walking Dead,3:03,Ivoryline,,Rock
Walking Dead,3:03,Ivoryline,Vessels,Rock
Walkers,3:17,The Color Morale,,
Walkers,3:17,The Color Morale,My Devil In Your Eyes,
Walk With A Crooked Spine,3:42,Haste The Day,,Metal
Walk With A Crooked Spine,3:42,Haste The Day,Attack Of The Wolf King,Metal
Walk on Water or Drown,3:30,Mayday Parade,A Lesson in Romantics,Alternative
The Walk,5:06,Periphery,Periphery [Instrumental Version],Metal
The Walk,5:06,Periphery,Periphery,Metal
Wake Up The Sun,3:23,Haste The Day,,Metal
Wake Up The Sun,3:23,Haste The Day,Attack Of The Wolf King,Metal
Wake Up (Shipwreck),4:32,The Classic Crime,Acoustic EP: Seattle Sessions,Alternative
Wake Up,3:40,Tilian,Patient EP,Alternative
Waiting On My Deathbed,4:03,Maylene & The Sons Of Disaster,III,Rock
Waiting in the weeds,5:31,The Eagles,Long Road Out Of Eden [Disc 2],Rock
Waiting In The Weeds,7:46,The Eagles,Long Road Out Of Eden [Disc 1],Rock
Waiting Game,2:55,The Home Team,Better Off,Pop Punk
Waiting For A Girl Like You,4:44,Foreigner,The Very Best of Foreigner,Rock
Waiting,4:07,Santana,Santana [Bonus Tracks],Rock
Waiting,2:58,The Red Jumpsuit Apparatus,Don't You Fake It,Rock
Wait for Me,4:00,Agent Fresco,Destrier,Alternative
Wait,3:21,The Dear Hunter,Act IV: Rebirth in Reprise,Alternative
Wagon Wheel,3:52,Old Crow Medicine Show,O.C.M.S.,Bluegrass
Wade In,2:53,The Home Team,Better Off,Pop Punk
W.O.W. (With Out Warning) [feat. Yelawolf],3:29,PRhyme,PRhyme 2,Hip-Hop
Vulf Pack,2:38,Vulfpeck,Mr Finish Line,Funk
Vox Populi,5:43,30 Seconds To Mars,This Is War,Alt. Rock
Voices of Old People,2:07,Simon & Garfunkel,Bookends,Singer/Songwriter
Voices,3:37,Saosin,Saosin [Clean],Alternative
A Voice Within,8:30,Intervals,Avw // Instrumental,Metal
Voice Of Trespass,7:58,Between the Buried and Me,Automata II,Metal
Visions In Sleep,3:44,Jamie's Elsewhere,They Said A Storm Was Coming,Screamo
Visions,3:59,The Eagles,One Of These Nights,Rock
Visions,4:09,Bring Me The Horizon,"There Is A Hell Believe Me I've Seen It, There Is A Heaven Let's Keep It A Secret",Metal
The Vision,5:36,Victor Wooten,A Show of Hands 15,Jazz
Viridian,2:51,Between the Buried & Me,Colors,Metal
Vipassana [Ryan Lewis REMIX],3:56,Macklemore and Ryan Lewis,,
Vipassana [Ryan Lewis REMIX],3:56,Macklemore and Ryan Lewis,The VS. Redux,
Vipassana,3:42,Macklemore and Ryan Lewis,,
Vipassana,3:42,Macklemore and Ryan Lewis,The VS. Redux,
Violin (feat. Lee Brice),4:25,Yelawolf,Trial By Fire,Hip-Hop/Rap
The Violet Hour,3:25,The Civil Wars,Barton Hollow,Singer/Songwriter
Viola Lion,4:46,Isles And Glaciers,The Hearts Of Lonely People,Alternative & Punk
Victory Circle,3:38,Yelawolf,Ball Of Flames The Ballad Of Slick Rick,
Viceroy,4:44,Cloudkicker,The Discovery,
Vibrato,2:10,Manuel Gardner Fernandes,Volume I,Pop
Vibe With Me,3:32,Gold Necklace,Gold Necklace,Rock
Vessels,3:07,Ivoryline,Vessels,Rock
Vertigo,2:46,Evan Brewer,Alone,Other
VERSACE LiES  (Prod. by Dame Grease),2:37,RiFF RaFF,Hologram Panda,
Velvet,3:05,Unprocessed,Gold,Alternative
Velcro Kid (Instrumental),4:44,Thomas Giles,Velcro Kid,Rock
Velcro Kid,4:44,Thomas Giles,Velcro Kid,Rock
"Vela, Together We Await The Storm",4:36,The Human Abstract,Nocturne,Rock
Vegas Skies,4:38,The Cab,Whisper War,Alternative
"Variations brillantes on Je vends des scapulaires from Herold's Ludovic, Op. 12",7:54,Irina Zaritzkaya,50 of the Best: Chopin,Classical
Variation,3:58,Dance Gavin Dance,Instant Gratification,Rock
Vapnatak,4:03,Heilung,Futha,Worldwide
Vanity Fair,2:58,Mr. Bungle,California,Hard Rock
Vanguard,3:50,Closure In Moscow,First Temple,Rock
Utopias Don't Exist,4:03,BackWordz,Veracity,Metal
(Used to Be a) Cha-Cha,8:49,Jaco Pastorius,Jaco Pastorius,Jazz
(Used to Be a) Cha-Cha,8:57,Jaco Pastorius,Jaco Pastorius,Jazz
Us and Them,7:41,Misery Signals,Homefront: Songs for the Resistance,Metal
Urgent,4:25,Foreigner,The Very Best of Foreigner,Rock
Uprising,5:05,Muse,The Resistance,Alternative Rock
Uprising,4:17,iwrestledabearonce,Homefront: Songs for the Resistance,Metal
Upheaval,2:34,Job For A Cowboy,Genesis,Death Metal
"The Upgrade, Pt. II",3:37,Slaves,"The Upgrade, Pt. II - Single",Heavy Metal
The Upgrade,4:13,Jonny Craig,Find What You Love And Let It Kill You,Pop
Up in the Air,3:28,Tilian,Material Me,Pop
The Unwinding Cable Car [AOL Sessions],4:29,Anberlin,Lost Songs,Alternative
The Unwinding Cable Car (Remix),4:11,Anberlin,New Surrender,Alternative
The Unwinding Cable Car (Acoustic),4:24,Anberlin,New Surrender,Alternative
The Unwinding Cable Car,4:17,Anberlin,Cities,Alternative
Untitled 2,0:35,Dance Gavin Dance,Jackpot Juicer,Hard Rock
untitled,2:17,Cloudkicker,Beacons,
Unrest,2:19,Parkway Drive,,Metalcore
Unrest,2:19,Parkway Drive,Deep Blue,Metalcore
Uno Mas More,3:19,Mestís,Polysemy,Metal
Unnatural Selection,6:55,Muse,The Resistance,Alternative Rock
Unnatural Born Killer,3:17,Yelawolf,Unnatural Born Killer - Single,Hip-Hop/Rap
Unnatural Born Killer,3:17,Yelawolf,Ghetto Cowboy,Hip-Hop/Rap
United States of Eurasia (+Collateral Damage),5:48,Muse,The Resistance,Alternative Rock
Unfurling A Darkened Gospel,3:44,Job For A Cowboy,Ruination,Technical Death Metal
Unequivocal Nature,3:38,Eidola,The Architect,Rock
Undisclosed Desires,3:56,Muse,The Resistance,Alternative Rock
The Undeveloped Story,3:28,Anberlin,Blueprints For The Black Market,Alternative
Understanding Decay,3:48,The Dillinger Escape Plan,One Of Us Is The Killer,Rock
Underachiever of the Year,3:37,Settle Your Scores,The Wilderness,Rock
The Uncertainty Principle,3:27,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack
Uncanny,3:27,Anberlin,Lost Songs,Alternative
Unattainable (feat. Tilian),3:00,Cadence Kid,Unattainable (feat. Tilian) - Single,Pop
Unabomber,4:48,The Acacia Strain,Wormwood,Rock
The Un-Manifest,3:16,Haste The Day,Attack Of The Wolf King,Metal
U.S.S Regret,2:36,Jonny Craig,The Places We'll Never Be,R&B/Soul
U Should of Killed Me When U Had the Chance,3:34,A Day to Remember,,Alternative
U Should of Killed Me When U Had the Chance,3:34,A Day to Remember,Old Record,Alternative
U Had Me @ Hello,4:35,A Day to Remember,Old Record,Alternative
U Can't Hold No Groove (If You Ain't Got No Pocket) [Bonus Track],4:25,Victor Wooten,A Show of Hands 15,Jazz
U Can't Hold No Groove (If You Ain't Got No Pocket),4:00,Victor Wooten,A Show of Hands 15,Jazz
Type Three,3:57,Anberlin,Vital,Christian Alt-Rock
Two Worlds Of Design,3:14,Born Of Osiris,The Discovery,Metal
Two Ships,5:05,"Oh, Sleeper",Bloodied / Unbowed,Metal
Two Secret Weapons,3:30,Dance Gavin Dance,Jackpot Juicer,Hard Rock
Two of Hearts,4:00,Stacey Q,Better Than Heaven,Dance
Twilight Princess Symphonic Movement,10:31,Koji Kondo,The Legend Of Zelda 25th Anniversary Soundtrack,Soundtrack
Twice Shy,2:52,Whale Bones,Island Fire,Alternative
